単語,意味
discover,～を発見する
finally,ついに、やっと
actor,俳優
side,側、面
musical,ミュージカル
The Lion King,[ライオンキング][作品名]
How is ~?,～はどうですか。
Great.,すばらしい、とても楽しい
be into ~,～に熱中している
because,～だから、～なので
fashion,（服装・行動様式などの）人気のもの、ファッション
been,be の過去分詞
have never[not] been to,～に行ったことがない
regional,地方の、地域の、局地的な、地方特有の
martial arts,武道
be excited to ~,～することにわくわくしている
want to ~,～したい
foreigner,外国人
Pokémon,「ポケモン」[アニメのタイトル]
have been to,～に行ったことがある
I've,I have の短縮形
ever,[疑問文で]今まで、かつて
haven't,have not の短縮形
That's nice to hear.,それを聞いてうれしいです。
so much fun,とても楽しい
global,全世界の、世界的な、地球上の
adventure,冒険、冒険心
quality,質、品質、良質
drawing,絵、図、スケッチ
addition,足し算、加えること、加えられたもの「人」
positive,肯定の、前向きな
in addition,そのうえ、さらに
genre,（文学・芸術作品などの）ジャンル、部門、分野
adult,おとな、（法律上の）成人、成長した動物
animation,アニメーション、動画
delicate,上品な、優美な、繊細な
match,～と調和する、～に匹敵する
~ such as …,…のような～
more and more,ますます（多くの）
ignore,～を無視する、見て見ないふりをする
root,[roots で]起源
express,～を表現する、言い表す
scroll,巻物、（日本・中国などの）掛け軸
influence,～に影響を及ぼす
taste,（飲食物の）味、味覚
entirely,全く、すっかり
It is said that ~.,～であると言われている。
take advantage of,～を利用する
existence,存在すること、生存
drawn,draw の過去分詞
movement,動き
technique,（芸術の）手法、テクニック
advantage,有利（であること）、有利な点、強み
link,～を（…と）つなぐ、連絡する
become something ~,～なものになる
one of the most popular places,最も人気のある場所のうちの1つ
already,すでに、もう
yet,[疑問文で]もう、すでに、[否定文で]まだ、今のところは
designer,デザイナー、設計書
message,伝言、メッセージ
essay,随筆、評論、エッセー、（学校の）作文
ethical,道義にかなった、道徳的な
interview,～インタビューする、インタビュー、取材、会見、面接、面談
sleep,眠る、寝ている
Sounds great.,よさそうですね。
accessory,（車・カメラ・機械類の）付属品、（身につける）アクセサリー
eco-friendly,環境にやさしい
impact,（強い）影響、衝撃、衝突
introduce,～を導入する
SDGs,持続可能な開発目標
How long ~?,どれくらい長く[長い]
recycle,（廃品）を再生利用する、リサイクルする
become,become の過去分詞
since,～（して）以来
Olivia,オリビア[名]
be made of ~,～で作られている
become concerned about ~,～について心配する
morally,道徳上、道徳的に見て、倫理的に、品行方正に
company,会社
lead,（～に）通じる
negative,否定的な、よくない
include,～を含む、含める
leather,革、なめし革、革製品
wool,羊毛、毛糸、毛織物、ウール
you've,you have の短縮形
clothing,[単数あつかいで]衣類、衣料品
chemical,化学物質
less,もっと少ない
animal-free,（食品が）動物性原料を含んでいない
vegan,絶対菜食主義者（卵・チーズ・牛乳などをとらないベジタリアン）
avoid,～を避ける、よける
fur,毛皮、毛皮製品、毛皮の衣服、（ほ乳動物の）柔らかい毛
~ amounts of …,～の量の…
moreover,なおそのうえに、さらに
developing,発展途上の
wage,賃金、給料
fair,公平な、相当の
labor,労働
worker,働く人、労働者
condition,状況
working,[名詞の前に用いて]働く
prohibit,（法律・規則などが）～を禁止する
responsible,（人が）（物事に対して）責任がある
what to ~,何を～すべきか
